osm_id,code,fclass,population,name,objectid2,province,district,tehsil,lat,lng
8920705448,1003,village,0,ممیاں,381,PUNJAB,NAROWAL,SHAKARGARH,32.1858,75.2467
8920705449,1003,village,0,کھڈیال,381,PUNJAB,NAROWAL,SHAKARGARH,32.1616,75.2388
8920705450,1003,village,0,الیاس پور,381,PUNJAB,NAROWAL,SHAKARGARH,32.1572,75.2378
8920705451,1003,village,0,ڈیرہ نور ملک,381,PUNJAB,NAROWAL,SHAKARGARH,32.1307,75.2368
8920705452,1003,village,0,ہریال,381,PUNJAB,NAROWAL,SHAKARGARH,32.1568,75.2106
8920705453,1003,village,0,پکھرال,381,PUNJAB,NAROWAL,SHAKARGARH,32.153,75.2118
8920705454,1004,hamlet,0,ممکا,381,PUNJAB,NAROWAL,SHAKARGARH,32.1531,75.2033
8920705455,1003,village,0,نانووال,381,PUNJAB,NAROWAL,SHAKARGARH,32.1567,75.1889
8920705456,1003,village,0,بھیکو چک,381,PUNJAB,NAROWAL,SHAKARGARH,32.1464,75.1962
8920705457,1003,village,0,نوگزہ,381,PUNJAB,NAROWAL,SHAKARGARH,32.1406,75.1856
8920705458,1003,village,0,نوشہرہ,381,PUNJAB,NAROWAL,SHAKARGARH,32.1385,75.1739
8920705459,1004,hamlet,0,سادکھیڑا,381,PUNJAB,NAROWAL,SHAKARGARH,32.1416,75.1698
8920705460,1003,village,0,فتوئی چک,381,PUNJAB,NAROWAL,SHAKARGARH,32.1267,75.1626
8920705461,1004,hamlet,0,مینا کھیڑا,381,PUNJAB,NAROWAL,SHAKARGARH,32.1302,75.1644
8920705462,1003,village,0,کلہ,381,PUNJAB,NAROWAL,SHAKARGARH,32.1213,75.1702
8920705463,1003,village,0,کالو کھیڑا,381,PUNJAB,NAROWAL,SHAKARGARH,32.149,75.1541
8920729841,1003,village,0,پنجوال,381,PUNJAB,NAROWAL,SHAKARGARH,32.1778,75.2262
8920729842,1003,village,0,موسی پور,381,PUNJAB,NAROWAL,SHAKARGARH,32.1964,75.211
8920729843,1003,village,0,جگت پور,381,PUNJAB,NAROWAL,SHAKARGARH,32.1975,75.2056
8920729853,1003,village,0,بھاو برہمناں,381,PUNJAB,NAROWAL,SHAKARGARH,32.1959,75.1995
8920729854,1003,village,0,ملک پور,381,PUNJAB,NAROWAL,SHAKARGARH,32.2049,75.1992
8920729855,1003,village,0,لنگیاں,381,PUNJAB,NAROWAL,SHAKARGARH,32.1918,75.1939
8920729856,1003,village,0,کنوال,381,PUNJAB,NAROWAL,SHAKARGARH,32.2137,75.2164
8920729857,1003,village,0,لٹکو چک,381,PUNJAB,NAROWAL,SHAKARGARH,32.209,75.2076
8920729858,1003,village,0,علاوال چک,381,PUNJAB,NAROWAL,SHAKARGARH,32.2096,75.1946
8920729859,1003,village,0,کسانہ,381,PUNJAB,NAROWAL,SHAKARGARH,32.215,75.1878
8920729860,1003,village,0,بروٹی,381,PUNJAB,NAROWAL,SHAKARGARH,32.2214,75.1756
8920729861,1003,village,0,اوڈرہ,381,PUNJAB,NAROWAL,SHAKARGARH,32.2101,75.1858
8920729903,1003,village,0,فتح پور افغاناں,381,PUNJAB,NAROWAL,SHAKARGARH,32.2039,75.1624
8920729904,1003,village,0,ساولہ,381,PUNJAB,NAROWAL,SHAKARGARH,32.2098,75.1507
8920729905,1003,village,0,رائے ہور,381,PUNJAB,NAROWAL,SHAKARGARH,32.2196,75.1537
8920729906,1003,village,0,دھیدر,381,PUNJAB,NAROWAL,SHAKARGARH,32.2255,75.161
8920729907,1003,village,0,چاتری,381,PUNJAB,NAROWAL,SHAKARGARH,32.2302,75.1803
8920729908,1003,village,0,سکڑنگیاں,381,PUNJAB,NAROWAL,SHAKARGARH,32.1948,75.156
8920760088,1003,village,0,جگوال,381,PUNJAB,NAROWAL,SHAKARGARH,32.3682,75.258
8920760089,1004,hamlet,0,چک پوپو,381,PUNJAB,NAROWAL,SHAKARGARH,32.3843,75.2497
8920768171,1003,village,0,چھنی,381,PUNJAB,NAROWAL,SHAKARGARH,32.3601,75.2478
8920768172,1003,village,0,کھرل,381,PUNJAB,NAROWAL,SHAKARGARH,32.3681,75.2493
8920768173,1003,village,0,چک بھرائیاں,381,PUNJAB,NAROWAL,SHAKARGARH,32.3499,75.2719
8920768268,1003,village,0,ٹھاکر پور,381,PUNJAB,NAROWAL,SHAKARGARH,32.3519,75.293
8920768269,1003,village,0,پنڈی بھومیاں,381,PUNJAB,NAROWAL,SHAKARGARH,32.3544,75.2778
8920768270,1003,village,0,پنڈی بخشا,381,PUNJAB,NAROWAL,SHAKARGARH,32.3545,75.2743
8920768271,1004,hamlet,0,سہونٹی,381,PUNJAB,NAROWAL,SHAKARGARH,32.3087,75.3151
8920768272,1004,hamlet,0,ذکریا,381,PUNJAB,NAROWAL,SHAKARGARH,32.3136,75.314
8920768273,1003,village,0,بدھن,381,PUNJAB,NAROWAL,SHAKARGARH,32.3132,75.3112
8920768281,1003,village,0,بھائی پور,381,PUNJAB,NAROWAL,SHAKARGARH,32.2991,75.3077
8920768282,1003,village,0,لالیاں,381,PUNJAB,NAROWAL,SHAKARGARH,32.2948,75.3111
8920768306,1003,village,0,چک بھرائیاں,381,PUNJAB,NAROWAL,SHAKARGARH,32.2902,75.2974
8920768322,1003,village,0,جیو چک,381,PUNJAB,NAROWAL,SHAKARGARH,32.2723,75.2939
8920768343,1003,village,0,ڈوگر,381,PUNJAB,NAROWAL,SHAKARGARH,32.2911,75.2803
8920768344,1003,village,0,پسوال,381,PUNJAB,NAROWAL,SHAKARGARH,32.2895,75.2686
8920768345,1003,village,0,تارا چک,381,PUNJAB,NAROWAL,SHAKARGARH,32.299,75.2654
8920768346,1003,village,0,گجرات,381,PUNJAB,NAROWAL,SHAKARGARH,32.2972,75.2539
