osm_id,code,fclass,name,objectid2,province,district,tehsil,lat,lng
5079542900,2110,hospital,Doctors Plaza,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9125,67.0308
5079542905,2502,bakery,Star Bakery,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9139,67.0263
5079542906,2302,fast_food,Bappu Burger,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9138,67.0263
5079542915,2110,hospital,Malik Hospital,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9134,67.0222
5079542916,2502,bakery,Shahbaz Bakery,0,SINDH,KARACHI,LIAQATABAD TOWN,24.916,67.0219
5079542917,2082,school,Faiz Grammer School,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9158,67.0222
5079542918,2082,school,FM Public School Campus 1,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9156,67.0223
5079984607,2512,clothes,Catalog Pakistan,355,PUNJAB,LAHORE,LAHORE CITY,31.5022,74.2743
5081247336,2301,restaurant,Marhaba Pakwan & Sheermall Restaurant,0,SINDH,KARACHI,GADAP TOWN,25.0496,67.1058
5081267743,2301,restaurant,Jeddah Restaurant,0,SINDH,KARACHI,GADAP TOWN,25.0512,67.1053
5081290279,2501,supermarket,Day 2 Day General Store,0,SINDH,KARACHI,SADDAR TOWN,24.8119,67.0171
5081600523,2012,community_centre,Marhaba Banquet,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9193,67.0321
5081600525,2301,restaurant,Majestic Restaurant,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9188,67.031
5081612399,2544,furniture_shop,Master Office Sys - Shahrah e Faisal,0,SINDH,KARACHI,JAMSHED TOWN,24.8664,67.0822
5081736191,2544,furniture_shop,Mini Cucine Italian Kitchen,0,SINDH,KARACHI,N.NAZIMABAD TOWN,24.9244,67.0327
5081767783,2082,school,Happy Day School,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9198,67.0343
5081844140,2082,school,Saqib Public School,0,SINDH,KARACHI,LIAQATABAD TOWN,24.918,67.0338
5081844141,2110,hospital,Chiniot Mother and Child Hospital,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9183,67.0345
5081891167,2016,market_place,Hadi Market,0,SINDH,KARACHI,LIAQATABAD TOWN,24.916,67.033
5081891168,2502,bakery,Al Hamid Bakers,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9157,67.033
5081891178,2082,school,Educators,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9142,67.0354
5081891183,2012,community_centre,Links Lawn,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9149,67.0319
5081891184,2012,community_centre,Fatima Blessings Lawn,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9145,67.0319
5081954721,2120,doctors,Shimshal Healthcare Centre,209,GILGIT BALTISTAN,HUNZA NAGAR,GOJAL,36.4367,75.3167
5081954722,2404,guesthouse,Shimshal Tourist Lodge,209,GILGIT BALTISTAN,HUNZA NAGAR,GOJAL,36.4389,75.3186
5081954723,2083,kindergarten,,209,GILGIT BALTISTAN,HUNZA NAGAR,GOJAL,36.4397,75.3185
5081958839,2084,college,SZABIST,0,SINDH,KARACHI,SADDAR TOWN,24.8203,67.0309
5082078911,2084,college,Pakistan Steel Institute of Technology,0,SINDH,KARACHI,BIN QASIM TOWN,24.8145,67.3402
5082508321,2111,clinic,Al shifa medical centre,355,PUNJAB,LAHORE,LAHORE CITY,31.4653,74.2138
5083139924,2082,school,Behak Lurka,406,PUNJAB,SARGODHA,KOT MOMIN,32.0724,73.0193
